,surface_total_in_m2,rooms,price,NS
48028,35.0,1.0,58000.0,18
60486,30.0,1.0,38000.0,18
72808,40.0,1.0,123000.0,18
75048,44.0,1.0,125000.0,18
90426,37.0,1.0,92999.0,18
91625,35.0,1.0,104999.0,18
98106,30.0,1.0,85000.0,18
99131,30.0,1.0,65000.0,18
99805,31.0,1.0,96000.0,18
121675,23.0,1.0,40000.0,18
122727,31.0,1.0,96000.0,18
144833,38.0,1.0,79000.0,18
150343,33.0,1.0,120000.0,18
150713,35.0,1.0,120000.0,18
162165,31.0,1.0,90000.0,18
163086,28.0,1.0,65000.0,18
170103,18.0,1.0,28000.0,18
44901,44.0,2.0,69500.0,18
70030,65.0,2.0,98700.0,18
70966,57.0,2.0,116000.0,18
90355,60.0,2.0,179999.0,18
90367,110.0,2.0,199999.0,18
90415,110.0,2.0,179999.0,18
92628,44.0,2.0,105000.0,18
94430,52.0,2.0,150000.0,18
125538,79.0,2.0,182000.0,18
126905,54.0,2.0,140000.0,18
143562,33.0,2.0,69000.0,18
152664,40.0,2.0,110000.0,18
158097,73.0,2.0,168000.0,18
158679,84.0,2.0,159000.0,18
166174,47.0,2.0,145000.0,18
41446,67.0,3.0,143000.0,18
44899,58.0,3.0,111500.0,18
51066,60.0,3.0,112000.0,18
65911,54.0,3.0,92000.0,18
81515,102.0,3.0,180000.0,18
84053,130.0,3.0,160000.0,18
86054,56.0,3.0,118000.0,18
101572,78.0,3.0,129500.0,18
101577,78.0,3.0,129500.0,18
103407,74.0,3.0,175000.0,18
131914,86.0,3.0,190000.0,18
133009,74.0,3.0,185000.0,18
141830,86.0,3.0,165000.0,18
142357,58.0,3.0,165000.0,18
142376,78.0,3.0,180000.0,18
158718,170.0,3.0,165000.0,18
160604,85.0,3.0,245000.0,18
160608,85.0,3.0,245000.0,18
160988,58.0,3.0,139500.0,18
163863,90.0,3.0,169000.0,18
164178,85.0,3.0,195000.0,18
165066,65.0,3.0,169000.0,18
169537,90.0,3.0,190000.0,18
169538,90.0,3.0,190000.0,18
172802,55.0,3.0,127000.0,18
172811,100.0,3.0,190000.0,18
172812,67.0,3.0,132000.0,18
173784,67.0,3.0,132000.0,18
173786,55.0,3.0,127000.0,18
173793,100.0,3.0,190000.0,18
173797,55.0,3.0,127000.0,18
173802,67.0,3.0,132000.0,18
173804,100.0,3.0,190000.0,18
173812,55.0,3.0,127000.0,18
176425,50.0,3.0,90000.0,18
178486,58.0,3.0,139500.0,18
25001,320.0,4.0,790000.0,18
28089,12.0,4.0,335000.0,18
36258,87.0,4.0,135000.0,18
48027,79.0,4.0,150000.0,18
84685,64.0,4.0,110000.0,18
123586,76.0,4.0,220000.0,18
136047,74.0,4.0,180000.0,18
140831,106.0,4.0,280000.0,18
144411,162.0,4.0,235000.0,18
147491,99.0,4.0,150000.0,18
151452,77.0,4.0,140000.0,18
160920,90.0,4.0,180000.0,18
164879,80.0,4.0,215000.0,18
168209,124.0,4.0,510000.0,18
177354,128.0,4.0,189000.0,18
41386,120.0,5.0,205000.0,18
59271,200.0,5.0,376000.0,18
125952,104.0,5.0,229000.0,18
152661,105.0,5.0,150000.0,18
4734,33.0,1.0,78000.0,34
4736,37.0,1.0,85000.0,34
7754,47.0,1.0,85000.0,34
63047,32.0,1.0,81000.0,34
130306,32.0,1.0,61500.0,34
130309,41.0,1.0,66500.0,34
130310,42.0,1.0,65000.0,34
130311,40.0,1.0,70000.0,34
130312,42.0,1.0,67000.0,34
144904,42.0,1.0,99000.0,34
175646,36.0,1.0,69595.0,34
69739,156.0,2.0,169000.0,34
74677,64.0,2.0,134640.0,34
96243,57.0,2.0,144000.0,34
102303,39.0,2.0,125000.0,34
158099,128.0,2.0,425000.0,34
164727,50.0,2.0,126480.0,34
164728,70.0,2.0,145860.0,34
164729,64.0,2.0,134640.0,34
164876,64.0,2.0,134640.0,34
171493,50.0,2.0,126480.0,34
173331,40.0,2.0,110000.0,34
75352,108.0,3.0,225000.0,34
96244,74.0,3.0,204000.0,34
103234,69.0,3.0,163000.0,34
132069,189.0,3.0,284900.0,34
134924,218.0,3.0,185000.0,34
